,#Karmn,Name
425,J04238+092,LP 535-073
426,J04238+149,IN Tau
427,J04247-067,2M J04244260-0647313
428,J04248+324,G 039-011
429,J04251+515,2M J04250968+5131578
430,J04252+080N,HG 7-207
431,J04252+080S,HG 7-206
432,J04252+172,V805 Tau
433,J04274+203,TYC 1273-9-1
434,J04276+595,G 175-032
435,J04278+117,NLTT 13316
436,J04284+176,V1102 Tau AB
437,J04290+219,BD+21 652
438,J04293+142,LTT 11438
439,J04294+262,FW Tau ABC
440,J04302+708,2M J04301210+7049138
441,J04304+398,V546 Per
442,J04308-088,Koenigstuhl 2A
443,J04310+367,1RXS J043100.0+364800
444,J04311+589,STN 2051A
445,J04312+422,2M J04311499+4217111
446,J04313+241,V927 Tau AB
447,J04326+098,LP 475-1095
448,J04329+001E,LP 595-023
449,J04329+001N,LP 595-021
450,J04329+001S,G 082-028
451,J04333+239,V697 Tau
452,J04335+207,G 008-041
453,J04347-004,G 082-033
454,J04350+086,StKM 1-495
455,J04352-161,LP 775-031
456,J04366+112,G 083-022
457,J04369+593,LP 084-034
458,J04369-162,2M J04365738-1613065
459,J04373+193,LP 416-1644
460,J04376+528,BD+52 857
461,J04376-024,StKM 1-497 Cab
462,J04376-110,BD-11 916
463,J04382+282,G 039-029 AB
464,J04386-115,LP 715-039
465,J04388+217,G 008-048
466,J04393+335,RX J0439.4+3332B
467,J04395+162,LP 415-302
468,J04398+251,2M J04394898+2509262
469,J04403-055,LP 655-048
470,J04404-091,BD-09 956 AB
471,J04407+022,StKM 1-502
472,J04413+327,NLTT 13733
473,J04414+132,TYC 694-1183-1
474,J04422+577,LP 084-059
475,J04423+207,LP 415-1896
476,J04425+204,LP 415-345
477,J04429+095,2M J04425522+0935544
478,J04429+189,HD 285968
479,J04429+214,2M J04425586+2128230
480,J04433+296,Haro 6-36
481,J04444+278,HD 283779
482,J04458-144,2M J04455273-1426259
483,J04468-112,RBS 584
484,J04471+021,G 082-048
485,J04472+206,RX J0447.2+2038
486,J04480+170,LP 416-043
487,J04488+100,1RXS J044847.6+100302
488,J04494+484,G 081-034
489,J04499+236,LkCa 18
